seed,eps,spearman_mean,spearman_std,spearman_min,spearman_max,topk_jaccard_mean,topk_jaccard_std,topk_jaccard_min,topk_jaccard_max,kendall_tau_mean,kendall_tau_std,kendall_tau_min,kendall_tau_max,spearman_ci95_low,spearman_ci95_high
0,0.02,0.8452983924903497,0.07341177332676488,0.7933884297520645,0.8972083552286347,0.5476190476189614,0.16835875742533316,0.4285714285713673,0.6666666666665555,0.7274712775994696,0.07048397777838934,0.6776315789473686,0.7773109762515706,0.7933884297520645,0.8972083552286347
0,0.05,0.8131201618192647,0.018846602129479507,0.799793601651185,0.8264467219873446,0.5476190476189614,0.16835875742533316,0.4285714285713673,0.6666666666665555,0.714812683730901,0.021872620817169786,0.6993464052287582,0.7302789622330439,0.799793601651185,0.8264467219873446
0,0.1,0.799839625173461,0.015121100877957792,0.7891473922036512,0.8105318581432708,0.6666666666665555,0.0,0.6666666666665555,0.6666666666665555,0.6906924769129665,0.0433072858574884,0.6600696014083522,0.7213153524175809,0.7891473922036512,0.8105318581432708
0,0.2,0.790397627272196,0.02555368161035589,0.7723284457212313,0.8084668088231606,0.6666666666665555,0.0,0.6666666666665555,0.6666666666665555,0.6885282909440545,0.009273581401244315,0.6819708786493492,0.6950857032387598,0.7723284457212313,0.8084668088231606
0,0.3,0.7919464142622786,0.016062314155080838,0.7805886430016723,0.803304185522885,0.6666666666665555,0.0,0.6666666666665555,0.6666666666665555,0.6885282909440545,0.009273581401244315,0.6819708786493492,0.6950857032387598,0.7805886430016723,0.803304185522885
1,0.02,0.7578731004804595,0.10221472644142367,0.685596374276601,0.8301498266843181,0.5476190476189614,0.16835875742533316,0.4285714285713673,0.6666666666665555,0.6163967557022965,0.12983013961742004,0.5245929835764226,0.7082005278281704,0.685596374276601,0.8301498266843181
1,0.05,0.8098057080416536,0.039604564852318565,0.7818010516686368,0.8378103644146705,0.5476190476189614,0.16835875742533316,0.4285714285713673,0.6666666666665555,0.6797366137801235,0.07147767465630686,0.629194265327203,0.7302789622330439,0.7818010516686368,0.8378103644146705
1,0.1,0.7849202879096508,0.00555581204562928,0.7809917355371885,0.7888488402821132,0.6666666666665555,0.0,0.6666666666665555,0.6666666666665555,0.6732653515773694,0.02478285115217697,0.6557412294705283,0.6907894736842106,0.7809917355371885,0.7888488402821132
1,0.2,0.815905358557034,0.001758435651622935,0.8146619567834913,0.8171487603305768,0.6666666666665555,0.0,0.6666666666665555,0.6666666666665555,0.7257677200824433,0.01225056406616915,0.7171052631578948,0.7344301770069916,0.8146619567834913,0.8171487603305768
1,0.3,0.815905358557034,0.001758435651622935,0.8146619567834913,0.8171487603305768,0.6666666666665555,0.0,0.6666666666665555,0.6666666666665555,0.7257677200824433,0.01225056406616915,0.7171052631578948,0.7344301770069916,0.8146619567834913,0.8171487603305768
2,0.02,0.761332689120404,0.03307287264625888,0.7379466365989152,0.7847187416418927,0.5476190476189614,0.16835875742533316,0.4285714285713673,0.6666666666665555,0.617565944639773,0.05398800555510987,0.5793906598090177,0.6557412294705282,0.7379466365989152,0.7847187416418927
2,0.05,0.8106006568181887,0.0860551162672006,0.7497505005498545,0.8714508130865231,0.5476190476189614,0.16835875742533316,0.4285714285713673,0.6666666666665555,0.6511025754823303,0.11784302419619706,0.567774973957669,0.7344301770069916,0.7497505005498545,0.8714508130865231
2,0.1,0.8400412796697607,0.004378370162145738,0.8369453044375627,0.8431372549019589,0.9999999999997999,0.0,0.9999999999997999,0.9999999999997999,0.7254901960784315,0.018486451795726826,0.7124183006535948,0.7385620915032681,0.8369453044375627,0.8431372549019589
2,0.2,0.8596491228070156,0.01459456720715271,0.8493292053663551,0.8699690402476761,0.9999999999997999,0.0,0.9999999999997999,0.9999999999997999,0.7712418300653596,0.02772967769359012,0.7516339869281047,0.7908496732026145,0.8493292053663551,0.8699690402476761
2,0.3,0.854930418525641,0.00584084151093849,0.8508003198854206,0.8590605171658615,0.9999999999997999,0.0,0.9999999999997999,0.9999999999997999,0.7803320630699284,0.027820744203732827,0.7606598261858126,0.8000042999540443,0.8508003198854206,0.8590605171658615
