seed,eps,spearman_mean,spearman_std,spearman_min,spearman_max,topk_jaccard_mean,topk_jaccard_std,topk_jaccard_min,topk_jaccard_max,kendall_tau_mean,kendall_tau_std,kendall_tau_min,kendall_tau_max,spearman_ci95_low,spearman_ci95_high
0,0.02,0.9683640522700786,0.019452749659586883,0.9546088810730604,0.9821192234670968,0.799999999999815,0.2828427124745271,0.59999999999988,0.99999999999975,0.8903411103095782,0.07299318686018126,0.8387271329003272,0.9419550877188291,0.9546088810730604,0.9821192234670968
0,0.05,0.974538259508182,0.004841097681110583,0.9711150865094822,0.9779614325068817,0.799999999999815,0.2828427124745271,0.59999999999988,0.99999999999975,0.8997160097002435,0.013258109864162364,0.8903411103095781,0.909090909090909,0.9711150865094822,0.9779614325068817
0,0.1,0.9807692307692254,0.011655606283294697,0.9725274725274672,0.9890109890109836,0.799999999999815,0.2828427124745271,0.59999999999988,0.99999999999975,0.9230769230769229,0.03626188621469466,0.8974358974358972,0.9487179487179485,0.9725274725274672,0.9890109890109836
0,0.2,0.9883199219705947,0.0067930878078361085,0.9835164835164781,0.9931233604247113,0.799999999999815,0.2828427124745271,0.59999999999988,0.99999999999975,0.9454194997501888,0.03159717494969325,0.9230769230769229,0.9677620764234546,0.9835164835164781,0.9931233604247113
0,0.3,0.9883199219705947,0.0067930878078361085,0.9835164835164781,0.9931233604247113,0.799999999999815,0.2828427124745271,0.59999999999988,0.99999999999975,0.9454194997501888,0.03159717494969325,0.9230769230769229,0.9677620764234546,0.9835164835164781,0.9931233604247113
1,0.02,0.986940623358742,0.002927939184471507,0.9848702577065004,0.9890109890109836,0.799999999999815,0.2828427124745271,0.59999999999988,0.99999999999975,0.9453365182183888,0.004782064872699304,0.9419550877188291,0.9487179487179485,0.9848702577065004,0.9890109890109836
1,0.05,0.9793681892276931,0.0077810998638346675,0.9738661207488859,0.9848702577065004,0.799999999999815,0.2828427124745271,0.59999999999988,0.99999999999975,0.9290515933665163,0.018248296715045326,0.9161480990142036,0.9419550877188291,0.9738661207488859,0.9848702577065004
1,0.1,0.9814101650608378,0.01656495974231552,0.9696969696969644,0.9931233604247113,0.59999999999988,0.0,0.59999999999988,0.59999999999988,0.9254394797701687,0.059853190181922866,0.883116883116883,0.9677620764234545,0.9696969696969644,0.9931233604247113
1,0.2,0.9828254164760892,0.01456349199669924,0.9725274725274672,0.9931233604247113,0.799999999999815,0.2828427124745271,0.59999999999988,0.99999999999975,0.9325989869296759,0.04972811805704068,0.8974358974358972,0.9677620764234546,0.9725274725274672,0.9931233604247113
1,0.3,0.9828254164760892,0.01456349199669924,0.9725274725274672,0.9931233604247113,0.799999999999815,0.2828427124745271,0.59999999999988,0.99999999999975,0.9325989869296759,0.04972811805704068,0.8974358974358972,0.9677620764234546,0.9725274725274672,0.9931233604247113
2,0.02,0.9766171549882895,0.0077810998638347855,0.9711150865094822,0.9821192234670968,0.799999999999815,0.2828427124745271,0.59999999999988,0.99999999999975,0.9161480990142037,0.03649659343009061,0.8903411103095782,0.9419550877188291,0.9711150865094822,0.9821192234670968
2,0.05,0.9697802197802144,0.011655606283294697,0.9615384615384562,0.9780219780219727,0.799999999999815,0.2828427124745271,0.59999999999988,0.99999999999975,0.8974358974358972,0.036261886214694776,0.8717948717948716,0.9230769230769229,0.9615384615384562,0.9780219780219727
2,0.1,0.9745798767421802,0.01844334625364506,0.9615384615384562,0.9876212919459041,0.799999999999815,0.2828427124745271,0.59999999999988,0.99999999999975,0.9068749797568503,0.04961076444934277,0.8717948717948716,0.9419550877188291,0.9615384615384562,0.9876212919459041
2,0.2,0.9800781637288365,0.018448694091130806,0.9670329670329617,0.9931233604247113,0.799999999999815,0.2828427124745271,0.59999999999988,0.99999999999975,0.9325989869296759,0.04972811805704068,0.8974358974358972,0.9677620764234546,0.9670329670329617,0.9931233604247113
2,0.3,0.9800781637288365,0.018448694091130806,0.9670329670329617,0.9931233604247113,0.799999999999815,0.2828427124745271,0.59999999999988,0.99999999999975,0.9325989869296759,0.04972811805704068,0.8974358974358972,0.9677620764234546,0.9670329670329617,0.9931233604247113
