framework,dataset,run,label,mean_spearman,std_spearman,n_ok,n_insufficient
H2O,ETTh1,h2o_bq_etth1,full_set,0.771788209051711,0.10890893714060201,9,0
H2O,ETTh1,h2o_bq_etth1,tree_approx,0.840216099730695,0.02493840237108636,7,2
H2O,ETTh1,h2o_bq_etth1,tree_exact,0.8444387989113774,0.020178753541331834,7,2
H2O,ETTh2,h2o_bq_etth2,full_set,0.7592866971349944,0.13973120123381613,7,2
H2O,ETTh2,h2o_bq_etth2,tree_approx,0.8560866013071896,0.06647503355133275,6,3
H2O,ETTh2,h2o_bq_etth2,tree_exact,0.8755310457516341,0.046496209889281236,6,3
H2O,ETTm1,h2o_bq_ettm1,full_set,0.8794353253665395,0.0773925392538246,9,0
H2O,ETTm1,h2o_bq_ettm1,tree_approx,0.8794353253665395,0.0773925392538246,9,0
H2O,ETTm1,h2o_bq_ettm1,tree_exact,0.9306179691362991,0.022502447144429748,9,0
H2O,Electricity,h2o_bq_electricity,full_set,0.8432421058794686,0.05507406514313974,9,0
H2O,Electricity,h2o_bq_electricity,tree_approx,0.8432421058794686,0.05507406514313974,9,0
H2O,Electricity,h2o_bq_electricity,tree_exact,0.9311168413732516,0.006716400382191554,9,0
H2O,M4 Monthly,h2o_bq_m4_monthly,full_set,0.8971861471861472,0.0456533821858854,4,2
H2O,M4 Monthly,h2o_bq_m4_monthly,tree_approx,0.8971861471861472,0.0456533821858854,4,2
H2O,M4 Monthly,h2o_bq_m4_monthly,tree_exact,0.9713636363636364,0.009642365197998319,2,4
H2O,Cable Demand,h2o_bq_cable_demand,full_set,0.6635778710784712,0.10464400295788798,10,2
H2O,Cable Demand,h2o_bq_cable_demand,tree_approx,0.6635778710784712,0.10464400295788798,10,2
H2O,Cable Demand,h2o_bq_cable_demand,tree_exact,0.6513628200770066,0.10192696882889689,9,3
