seed,eps,spearman_mean,spearman_std,spearman_min,spearman_max,topk_jaccard_mean,topk_jaccard_std,topk_jaccard_min,topk_jaccard_max,kendall_tau_mean,kendall_tau_std,kendall_tau_min,kendall_tau_max,spearman_ci95_low,spearman_ci95_high
0,0.02,0.9442724458204312,0.01459456720715263,0.9339525283797708,0.9545923632610918,0.8333333333331777,0.23570226039545297,0.6666666666665555,0.9999999999997999,0.8300653594771243,0.03697290359145361,0.803921568627451,0.8562091503267976,0.9339525283797708,0.9545923632610918
0,0.05,0.9462007856920219,0.012437512151729595,0.9374061365084438,0.9549954348756,0.6666666666665555,0.0,0.6666666666665555,0.6666666666665555,0.8506157043508267,0.018796129147819977,0.8373248339703451,0.8639065747313084,0.9374061365084438,0.9549954348756
0,0.1,0.9655561321888562,0.014935081368523956,0.9549954348756,0.9761168295021123,0.6666666666665555,0.0,0.6666666666665555,0.6666666666665555,0.8963627352874126,0.045899942441001415,0.8639065747313084,0.928818895843517,0.9549954348756,0.9761168295021123
0,0.2,0.9713504205006264,0.017861644944313436,0.9587203302373559,0.9839805107638968,0.8333333333331777,0.23570226039545297,0.6666666666665555,0.9999999999997999,0.8902384644599397,0.06661116936107077,0.8431372549019609,0.9373396740179184,0.9587203302373559,0.9839805107638968
0,0.3,0.9684935128337429,0.017501851137579256,0.956117835211043,0.9808691904564426,0.8333333333331777,0.23570226039545297,0.6666666666665555,0.9999999999997999,0.8931294550212713,0.057510206084215566,0.8524635983116866,0.933795311730856,0.956117835211043,0.9808691904564426
1,0.02,0.9349845201238369,0.024810764252159483,0.9174406604747142,0.9525283797729597,0.6666666666665555,0.0,0.6666666666665555,0.6666666666665555,0.7973856209150327,0.046216129489316866,0.7647058823529412,0.8300653594771243,0.9174406604747142,0.9525283797729597
1,0.05,0.9343021426789457,0.023411787579726433,0.9177475089216222,0.9508567764362692,0.8333333333331777,0.23570226039545297,0.6666666666665555,0.9999999999997999,0.8107430932093818,0.03759225829564015,0.7841613524484183,0.8373248339703451,0.9177475089216222,0.9508567764362692
1,0.1,0.9575529994156103,0.00946988935405861,0.9508567764362692,0.9642492223949515,0.8333333333331777,0.23570226039545297,0.6666666666665555,0.9999999999997999,0.8582696331503585,0.0296204190615558,0.8373248339703451,0.8792144323303719,0.9508567764362692,0.9642492223949515
1,0.2,0.97079350088358,0.0026088406127990184,0.9689487719952349,0.9726382297719249,0.8333333333331777,0.23570226039545297,0.6666666666665555,0.9999999999997999,0.891148193786095,0.0009332088326404136,0.8904883154922718,0.8918080720799183,0.9689487719952349,0.9726382297719249
1,0.3,0.9694612136403152,0.007340846067979802,0.9642704516060001,0.9746519756746304,0.8333333333331777,0.23570226039545297,0.6666666666665555,0.9999999999997999,0.8937360461744344,0.0004572079536952393,0.893412751329964,0.8940593410189046,0.9642704516060001,0.9746519756746304
2,0.02,0.9339525283797709,0.0029189134414305574,0.9318885448916387,0.936016511867903,0.6666666666665555,0.0,0.6666666666665555,0.6666666666665555,0.803921568627451,0.0,0.803921568627451,0.803921568627451,0.9318885448916387,0.936016511867903
2,0.05,0.9410568214529887,0.005849913493901275,0.9369203079520965,0.945193334953881,0.8333333333331777,0.23570226039545297,0.6666666666665555,0.9999999999997999,0.821264093690244,0.009366474351506348,0.8146409961604839,0.827887191220004,0.9369203079520965,0.945193334953881
2,0.1,0.9593707883029474,0.020049946806161553,0.945193334953881,0.9735482416520138,0.8333333333331777,0.23570226039545297,0.6666666666665555,0.9999999999997999,0.8585015067204452,0.06202812888650565,0.8146409961604839,0.9023620172804065,0.945193334953881,0.9735482416520138
2,0.2,0.971035974088398,0.0065443811662805025,0.9664083977870516,0.9756635503897445,0.8333333333331777,0.23570226039545297,0.6666666666665555,0.9999999999997999,0.8923532016019193,0.02978521533558607,0.871291873859025,0.9134145293448138,0.9664083977870516,0.9756635503897445
2,0.3,0.9715689242384014,0.006542518946636538,0.9669426647251932,0.9761951837516095,0.8333333333331777,0.23570226039545297,0.6666666666665555,0.9999999999997999,0.8960444964914591,0.029734631771589644,0.8750189367296831,0.9170700562532351,0.9669426647251932,0.9761951837516095
