seed,eps,spearman_mean,spearman_std,spearman_min,spearman_max,topk_jaccard_mean,topk_jaccard_std,topk_jaccard_min,topk_jaccard_max,kendall_tau_mean,kendall_tau_std,kendall_tau_min,kendall_tau_max,spearman_ci95_low,spearman_ci95_high
0,0.02,0.9606632559875272,0.038124420067278106,0.9337052200291505,0.9876212919459041,0.59999999999988,0.0,0.59999999999988,0.59999999999988,0.8986461455832643,0.06124809334014733,0.8553372034476995,0.9419550877188291,0.9337052200291505,0.9876212919459041
0,0.05,0.9628619837912713,0.03501494938725642,0.9381026756366386,0.9876212919459041,0.59999999999988,0.0,0.59999999999988,0.59999999999988,0.9032446046618909,0.05474489014513586,0.8645341216049527,0.9419550877188291,0.9381026756366386,0.9876212919459041
0,0.1,0.9628619837912713,0.03501494938725642,0.9381026756366386,0.9876212919459041,0.59999999999988,0.0,0.59999999999988,0.59999999999988,0.9032446046618909,0.05474489014513586,0.8645341216049527,0.9419550877188291,0.9381026756366386,0.9876212919459041
0,0.2,0.9601402071858932,0.029104186486410534,0.9395604395604344,0.980719974811352,0.59999999999988,0.0,0.59999999999988,0.59999999999988,0.9034693360169537,0.04479445688376986,0.8717948717948716,0.9351438002390358,0.9395604395604344,0.980719974811352
0,0.3,0.9601402071858932,0.029104186486410534,0.9395604395604344,0.980719974811352,0.59999999999988,0.0,0.59999999999988,0.59999999999988,0.9034693360169537,0.04479445688376986,0.8717948717948716,0.9351438002390358,0.9395604395604344,0.980719974811352
1,0.02,0.9704344179223202,0.026271238775975706,0.9518578468336568,0.9890109890109836,0.99999999999975,0.0,0.99999999999975,0.99999999999975,0.9195295295137633,0.04127865830278992,0.8903411103095782,0.9487179487179485,0.9518578468336568,0.9890109890109836
1,0.05,0.9663418999925728,0.0378747045632886,0.9395604395604344,0.9931233604247113,0.99999999999975,0.0,0.99999999999975,0.99999999999975,0.919778474109163,0.06785906116438811,0.8717948717948716,0.9677620764234546,0.9395604395604344,0.9931233604247113
1,0.1,0.9759156699765015,0.0067890502463627215,0.9711150865094822,0.9807162534435208,0.99999999999975,0.0,0.99999999999975,0.99999999999975,0.9256065170395693,0.013376223050066251,0.9161480990142036,0.9350649350649349,0.9711150865094822,0.9807162534435208
1,0.2,0.9738661207488859,0.0038905499319173533,0.9711150865094822,0.9766171549882895,0.99999999999975,0.0,0.99999999999975,0.99999999999975,0.9161480990142036,0.0,0.9161480990142036,0.9161480990142036,0.9711150865094822,0.9766171549882895
1,0.3,0.9738661207488859,0.0038905499319173533,0.9711150865094822,0.9766171549882895,0.99999999999975,0.0,0.99999999999975,0.99999999999975,0.9161480990142036,0.0,0.9161480990142036,0.9161480990142036,0.9711150865094822,0.9766171549882895
2,0.02,0.9585971284979813,0.037155815652668366,0.9323239992894623,0.9848702577065004,0.99999999999975,0.0,0.99999999999975,0.99999999999975,0.8920666286336666,0.07055293544413203,0.8421781695485041,0.9419550877188291,0.9323239992894623,0.9848702577065004
2,0.05,0.9546088810730604,0.04279604925109108,0.9243475044396204,0.9848702577065004,0.99999999999975,0.0,0.99999999999975,0.99999999999975,0.8774376159572654,0.09124148357522648,0.8129201441957018,0.9419550877188291,0.9243475044396204,0.9848702577065004
2,0.1,0.9642857142857091,0.027196414661020844,0.9450549450549399,0.9835164835164781,0.99999999999975,0.0,0.99999999999975,0.99999999999975,0.8846153846153845,0.054392829322042084,0.846153846153846,0.9230769230769229,0.9450549450549399,0.9835164835164781
2,0.2,0.9670329670329618,0.03108161675545241,0.9450549450549399,0.9890109890109836,0.99999999999975,0.0,0.99999999999975,0.99999999999975,0.8974358974358972,0.07252377242938939,0.846153846153846,0.9487179487179485,0.9450549450549399,0.9890109890109836
2,0.3,0.9670329670329618,0.03108161675545241,0.9450549450549399,0.9890109890109836,0.99999999999975,0.0,0.99999999999975,0.99999999999975,0.8974358974358972,0.07252377242938939,0.846153846153846,0.9487179487179485,0.9450549450549399,0.9890109890109836
