seed,eps,spearman_mean,spearman_std,spearman_min,spearman_max,topk_jaccard_mean,topk_jaccard_std,topk_jaccard_min,topk_jaccard_max,kendall_tau_mean,kendall_tau_std,kendall_tau_min,kendall_tau_max,spearman_ci95_low,spearman_ci95_high
0,0.02,0.8909090909090829,,0.8909090909090829,0.8909090909090829,0.499999999999875,,0.499999999999875,0.499999999999875,0.7090909090909091,,0.7090909090909091,0.7090909090909091,,
0,0.05,0.9290836781143024,,0.9290836781143024,0.9290836781143024,0.499999999999875,,0.499999999999875,0.499999999999875,0.8227533512074423,,0.8227533512074423,0.8227533512074423,,
0,0.1,0.9339431975353122,,0.9339431975353122,0.9339431975353122,0.499999999999875,,0.499999999999875,0.499999999999875,0.8073734277593311,,0.8073734277593311,0.8073734277593311,,
0,0.2,0.986311652350793,,0.986311652350793,0.986311652350793,0.499999999999875,,0.499999999999875,0.499999999999875,0.944606427885211,,0.944606427885211,0.944606427885211,,
0,0.3,0.999999999999991,,0.999999999999991,0.999999999999991,0.9999999999996666,,0.9999999999996666,0.9999999999996666,1.0,,1.0,1.0,,
1,0.02,0.8090909090909018,,0.8090909090909018,0.8090909090909018,0.499999999999875,,0.499999999999875,0.499999999999875,0.6363636363636364,,0.6363636363636364,0.6363636363636364,,
1,0.05,0.9543478488023877,,0.9543478488023877,0.9543478488023877,0.9999999999996666,,0.9999999999996666,0.9999999999996666,0.8705196492275474,,0.8705196492275474,0.8705196492275474,,
1,0.1,0.990909090909082,,0.990909090909082,0.990909090909082,0.9999999999996666,,0.9999999999996666,0.9999999999996666,0.9636363636363636,,0.9636363636363636,0.9636363636363636,,
1,0.2,0.9818181818181729,,0.9818181818181729,0.9818181818181729,0.499999999999875,,0.499999999999875,0.499999999999875,0.9272727272727274,,0.9272727272727274,0.9272727272727274,,
1,0.3,0.9818181818181729,,0.9818181818181729,0.9818181818181729,0.499999999999875,,0.499999999999875,0.499999999999875,0.9272727272727274,,0.9272727272727274,0.9272727272727274,,
2,0.02,0.9563850189331332,,0.9563850189331332,0.9563850189331332,0.9999999999996666,,0.9999999999996666,0.9999999999996666,0.8874245216579991,,0.8874245216579991,0.8874245216579991,,
2,0.05,0.9272727272727189,,0.9272727272727189,0.9272727272727189,0.9999999999996666,,0.9999999999996666,0.9999999999996666,0.8181818181818182,,0.8181818181818182,0.8181818181818182,,
2,0.1,0.9452153335028433,,0.9452153335028433,0.9452153335028433,0.499999999999875,,0.499999999999875,0.499999999999875,0.8705196492275474,,0.8705196492275474,0.8705196492275474,,
2,0.2,0.999999999999991,,0.999999999999991,0.999999999999991,0.9999999999996666,,0.9999999999996666,0.9999999999996666,1.0,,1.0,1.0,,
2,0.3,0.9818181818181729,,0.9818181818181729,0.9818181818181729,0.499999999999875,,0.499999999999875,0.499999999999875,0.9272727272727274,,0.9272727272727274,0.9272727272727274,,
