split_id,seed,eps,feature,mean_importance,q10,q50,q90,rdi_cv,n_models
0,0,0.02,cov_HULL_lag1,0.1176309022478138,0.09240155976172533,0.1279486715374514,0.13873313701804724,0.2576237778550574,3
0,0,0.02,cov_LUFL_lag1,0.11462274639285168,0.07554594867327247,0.07736843450111333,0.16860126886912621,0.5802427221150662,3
0,0,0.02,cov_LULL_lag1,0.021831803048553367,0.015412826545245437,0.015828339793661095,0.030652164853818203,0.4970371736159064,3
0,0,0.02,cov_MUFL_lag1,1.5727837631851436,1.3954896787703037,1.6563933362066745,1.7166340183913706,0.13566802549352067,3
0,0,0.02,cov_MULL_lag1,0.045786411491377854,0.03886014435114335,0.03887819942319762,0.05547596345888446,0.2617572419888628,3
0,0,0.02,cov_OT_lag1,0.049639417010669866,0.04523552560387174,0.04649967336794357,0.0552992058745585,0.13804307166857213,3
0,0,0.02,day_of_week_lag1,0.014608392809653446,0.011508481564465852,0.014973060784395737,0.017562436864944124,0.259910791750965,3
0,0,0.02,hour_lag1,0.3222400039155036,0.3064321881793439,0.31815111441537736,0.3396833754517138,0.06542179447860912,3
0,0,0.02,month_cos,0.01598952807427845,0.015469097760156685,0.01563098453509151,0.016653375804074996,0.05019946533981774,3
0,0,0.02,month_lag1,0.02551653482281831,0.01654120331327426,0.026884583299979524,0.03394464694149788,0.42879982558713914,3
0,0,0.02,month_sin,0.009974954343827705,0.006235568824486065,0.011792851821664906,0.012987180872034465,0.45151865806883174,3
0,0,0.02,target_lag1,2.275514445354541,1.8434023483991624,2.3126153323054313,2.692786187529564,0.23372136640516564,3
0,0,0.02,target_lag2,0.5788783793772261,0.296028161406517,0.637744482755661,0.8381821559965611,0.5919373480662765,3
0,0,0.02,target_lag3,0.17582001045569387,0.09148405050573634,0.0960974170963163,0.29204500774940245,0.8139389135673862,3
0,0,0.02,target_lag4,0.14722148538450708,0.04364007570547979,0.08772299466421823,0.27460229135164993,1.0410995719916933,3
0,0,0.02,target_lag5,0.04564160461983794,0.039977478736429435,0.04790490457497067,0.05040041052119335,0.1490487584058898,3
0,0,0.02,target_lag6,0.04751905987235655,0.04113921005377774,0.049635985475033485,0.05305213944986458,0.16136611668488127,3
0,0,0.02,year,0.17734376728224255,0.16469739027321334,0.17903132423758505,0.18931512150913476,0.08714902187291958,3
0,0,0.05,cov_HULL_lag1,86.96865318767756,0.06906549163861196,0.09906306045013476,0.1414292533881962,3.3131526667096542,11
0,0,0.05,cov_LUFL_lag1,0.1448197301041959,0.07509032721631224,0.09432834467384961,0.2934683371335268,0.7474176918332796,11
0,0,0.05,cov_LULL_lag1,0.06346752855593377,0.015828339793661095,0.025301876711309842,0.03435812111885748,2.0506205784284264,11
0,0,0.05,cov_MUFL_lag1,1.8587495628528465,1.4638457741588353,1.8262941946089268,2.2704834753880276,0.16802725529119078,11
0,0,0.05,cov_MULL_lag1,0.06626794326986944,0.03887819942319762,0.06827879855991335,0.09198114773258563,0.31140894999038987,11
0,0,0.05,cov_OT_lag1,0.050358092266489414,0.03243412580108265,0.05311134670278984,0.06065003088675436,0.27069179569387664,11
0,0,0.05,day_of_week_lag1,0.04421872242533767,0.009485697755299007,0.014973060784395737,0.024048881351482084,2.3011259069519365,11
0,0,0.05,hour_lag1,14.952615890842862,0.3035024566203356,0.32515524392947553,0.4350408298894763,3.2425427731883203,11
0,0,0.05,month_cos,0.014370808781604823,0.005541368346312051,0.015428626066422979,0.019529766597552175,0.5337689503770416,11
0,0,0.05,month_lag1,0.041188343335379574,0.020853761848993548,0.027039577935211088,0.03647112917504269,1.121917846479503,11
0,0,0.05,month_sin,245.75903276920488,0.004846248075191354,0.013285763134626854,0.025062501751817724,3.3164535845661782,11
0,0,0.05,target_lag1,1.927362561181865,1.4040771619603039,1.8747661547362804,2.627989328466356,0.2819284060243298,11
0,0,0.05,target_lag2,0.7605308601773472,0.4421126080863178,0.685168043874437,1.2081526924669743,0.4333354943021354,11
0,0,0.05,target_lag3,0.18653815652438918,0.07138409524894083,0.1129182911603129,0.341031905412674,0.8997118453880045,11
0,0,0.05,target_lag4,0.15695819853810294,0.0345275439281249,0.07228155812714246,0.3213221155235078,1.233217092341073,11
0,0,0.05,target_lag5,14.703707665051398,0.03799562227679412,0.049826078587211636,0.10761129193007943,3.3041360143260787,11
0,0,0.05,target_lag6,0.07207111874892934,0.03981654168106611,0.0678546297177672,0.10601224414422174,0.4786907341645345,11
