epsilon,avg_spearman,std_spearman,avg_jaccard,std_jaccard,n_comparisons,avg_features,avg_kendall,std_kendall
0.02,0.7918816649466788,0.15191488674780312,0.6666666666665555,0.0,6,18.0,0.6732026143790849,0.1434339003853093
0.05,0.7918816649466788,0.15191488674780312,0.6666666666665555,0.0,6,18.0,0.6732026143790849,0.1434339003853093
0.1,0.7918816649466788,0.15191488674780312,0.6666666666665555,0.0,6,18.0,0.6732026143790849,0.1434339003853093
0.2,0.7918816649466788,0.15191488674780312,0.6666666666665555,0.0,6,18.0,0.6732026143790849,0.1434339003853093
0.3,0.7918816649466788,0.15191488674780312,0.6666666666665555,0.0,6,18.0,0.6732026143790849,0.1434339003853093
