split_id,seed,eps,feature,mean_importance,q10,q50,q90,rdi_cv,n_models
0,0,0.02,month_cos,36.17797899723053,36.17797899723053,36.17797899723053,36.17797899723053,,1
0,0,0.02,month_lag1,21.083218041788786,21.083218041788786,21.083218041788786,21.083218041788786,,1
0,0,0.02,month_sin,12.91552688986063,12.91552688986063,12.91552688986063,12.91552688986063,,1
0,0,0.02,target_lag1,471.52413532435895,471.52413532435895,471.52413532435895,471.52413532435895,,1
0,0,0.02,target_lag2,649.4170987701416,649.4170987701416,649.4170987701416,649.4170987701416,,1
0,0,0.02,target_lag3,405.22551111221316,405.22551111221316,405.22551111221316,405.22551111221316,,1
0,0,0.02,target_lag4,213.28278354644775,213.28278354644775,213.28278354644775,213.28278354644775,,1
0,0,0.02,target_lag5,185.4215846967697,185.4215846967697,185.4215846967697,185.4215846967697,,1
0,0,0.02,target_lag6,162.98772404193878,162.98772404193878,162.98772404193878,162.98772404193878,,1
0,0,0.02,trend_lag1,55.612695121765135,55.612695121765135,55.612695121765135,55.612695121765135,,1
0,0,0.02,year,89.69696342468262,89.69696342468262,89.69696342468262,89.69696342468262,,1
0,0,0.05,month_cos,39.08305392771959,36.758993983328345,39.08305392771959,41.40711387211084,0.10511963507267609,2
0,0,0.05,month_lag1,21.61561170405708,21.189696774242446,21.61561170405708,22.04152663387172,0.034832155018770766,2
0,0,0.05,month_sin,20.07449909880757,14.347321331650019,20.07449909880757,25.801676865965128,0.5043371463821843,2
0,0,0.05,target_lag1,483.56685962885615,473.9326801852584,483.56685962885615,493.20103907245397,0.035219502123060215,2
0,0,0.05,target_lag2,524.5685978725553,424.68979715448614,524.5685978725553,624.4473985906243,0.336585994524613,2
0,0,0.05,target_lag3,390.1810244083405,378.1454350452423,390.1810244083405,402.21661377143863,0.05452883611605893,2
0,0,0.05,target_lag4,302.66284960508347,231.1587967581749,302.66284960508347,374.16690245199203,0.4176346776317482,2
0,0,0.05,target_lag5,206.80566742658615,189.698401242733,206.80566742658615,223.91293361043932,0.14623225848561436,2
0,0,0.05,target_lag6,166.9488267636299,163.779944586277,166.9488267636299,170.11770894098282,0.03355426509765038,2
0,0,0.05,trend_lag1,56.45174568831921,55.78050523507595,56.45174568831921,57.122986141562464,0.021019663365044572,2
0,0,0.05,year,54.8727471280098,27.01337409067154,54.8727471280098,82.73212016534805,0.8975107236909025,2
0,0,0.1,month_cos,40.629248215556146,37.34000896942616,41.988128858208654,43.37493520462513,0.09724898332443549,3
0,0,0.1,month_lag1,21.729142237150423,21.257815094098447,21.956203303337098,22.109644953727724,0.026119201566653007,3
0,0,0.1,month_sin,16.796729390819866,10.77605735784769,12.91552688986063,24.369882424175742,0.5439665976030401,3
0,0,0.1,target_lag1,656.0069583016634,476.34122504615783,495.6095839333534,899.8316413044929,0.4556623890747421,3
0,0,0.1,target_lag2,567.0328254590431,449.65949733400345,649.4170987701416,651.4524442596435,0.2555454475416615,3
0,0,0.1,target_lag3,385.98450351715087,375.6275225105286,377.5914617347717,399.69870123672484,0.04328761736789459,3
0,0,0.1,target_lag4,264.6954334243139,193.66503755950927,213.28278354644775,356.29088924026485,0.41922002638106315,3
0,0,0.1,target_lag5,160.49178336342177,91.37552912902832,185.4215846967697,219.63611706447603,0.5172807770653212,3
0,0,0.1,target_lag6,141.93833783825238,106.13143279838562,162.98772404193878,169.3254883966446,0.30647224438086546,3
0,0,0.1,trend_lag1,47.30141222755114,34.32313526916504,55.612695121765135,56.95517602825165,0.33552987492340786,3
0,0,0.1,year,39.190513987739884,10.270544332027436,20.048530831336976,75.76727690601349,1.126923972311855,3
0,0,0.2,month_cos,50.38165878658945,40.07665229797363,53.63022302150726,59.91464186668396,0.17979912137860857,11
0,0,0.2,month_lag1,24.399868265375154,20.205270920097828,23.172975882291794,31.157938754558565,0.1887522209561987,11
